features_dyn,roc_seed_0,mean_importance
AMG,-0.0011961722488038617,-0.0011961722488038617
ATF,0.010466507177033457,0.010466507177033457
CAR,0.0017942583732056816,0.0017942583732056816
CF1,-0.0023923444976077235,-0.0023923444976077235
CF2,-0.0011961722488038617,-0.0011961722488038617
CF3,0.0008971291866028963,0.0008971291866028963
CF4,-0.010466507177033568,-0.010466507177033568
Falta,0.0011961722488037507,0.0011961722488037507
GCC,-0.0011961722488038617,-0.0011961722488038617
GLI,-0.00328947368421062,-0.00328947368421062
LIN,-0.0011961722488038617,-0.0011961722488038617
LIP,-0.0011961722488038617,-0.0011961722488038617
MAC,-0.0011961722488038617,-0.0011961722488038617
MON,0.0,0.0
NTI,-0.0011961722488038617,-0.0011961722488038617
OTR,0.0,0.0
OXA,-0.0023923444976077235,-0.0023923444976077235
PAP,0.0005980861244018199,0.0005980861244018199
PEN,-0.004784688995215336,-0.004784688995215336
POL,0.0,0.0
QUI,0.0017942583732056816,0.0017942583732056816
SUL,-0.0011961722488038617,-0.0011961722488038617
TTC,-0.0011961722488038617,-0.0011961722488038617
pc_acinet,0.0,0.0
pc_enterob,0.0,0.0
pc_enteroc,-0.0023923444976077235,-0.0023923444976077235
pc_pseud,-0.0011961722488038617,-0.0011961722488038617
pc_staph,-0.0023923444976077235,-0.0023923444976077235
pc_stenot,0.0,0.0
pc_no_germ,-0.018241626794258337,-0.018241626794258337
isVM,0.02960526315789458,0.02960526315789458
numberOfPatients,0.0011961722488037507,0.0011961722488037507
numberOfPatientsMR,-0.0011961722488038617,-0.0011961722488038617
neighbor_AMG,0.02302631578947356,0.02302631578947356
neighbor_ATF,-0.029306220095693836,-0.029306220095693836
neighbor_CAR,-0.006279904306220052,-0.006279904306220052
neighbor_CF1,0.003289473684210509,0.003289473684210509
neighbor_CF2,0.0,0.0
neighbor_CF3,-0.013456937799043112,-0.013456937799043112
neighbor_CF4,0.019736842105263164,0.019736842105263164
neighbor_Falta,-0.0008971291866028963,-0.0008971291866028963
neighbor_GCC,-0.0011961722488038617,-0.0011961722488038617
neighbor_GLI,-0.017643540669856406,-0.017643540669856406
neighbor_LIN,0.013157894736842035,0.013157894736842035
neighbor_LIP,-0.0011961722488038617,-0.0011961722488038617
neighbor_MAC,0.005681818181818232,0.005681818181818232
neighbor_MON,-0.0044856459330144816,-0.0044856459330144816
neighbor_NTI,-0.005980861244019198,-0.005980861244019198
neighbor_OTR,-0.0035885167464114742,-0.0035885167464114742
neighbor_OXA,0.01674641148325351,0.01674641148325351
neighbor_PAP,-0.00837320574162681,-0.00837320574162681
neighbor_PEN,-0.007476076555023914,-0.007476076555023914
neighbor_POL,-0.006877990430622094,-0.006877990430622094
neighbor_QUI,-0.016447368421052655,-0.016447368421052655
neighbor_SUL,-0.0011961722488038617,-0.0011961722488038617
neighbor_TTC,-0.0011961722488038617,-0.0011961722488038617
