,0,1,selected,features
189,-0.02,0.2,N,MON7
190,-0.05,0.13,N,MON8
191,0.0,0.0,N,MON9
192,0.0,0.0,N,MON10
193,-0.02,0.12,N,MON11
194,-0.06,0.06,N,MON12
195,-0.01,0.18,N,MON13
196,0.0,0.0,N,NTI0
197,0.03,0.18,Y,NTI1
198,0.11,0.25,Y,NTI2
199,-0.09,0.07,N,NTI3
200,0.0,0.05,N,NTI4
201,-0.04,0.12,N,NTI5
202,-0.06,0.09,N,NTI6
203,-0.03,0.11,N,NTI7
204,-0.08,0.06,N,NTI8
205,-0.07,0.08,N,NTI9
206,-0.09,0.06,N,NTI10
207,-0.01,0.15,N,NTI11
208,-0.03,0.11,N,NTI12
209,-0.05,0.08,N,NTI13
210,-0.02,0.14,N,OTR0
211,-0.1,0.05,N,OTR1
212,-0.06,0.08,N,OTR2
213,-0.06,0.09,N,OTR3
214,-0.07,0.09,N,OTR4
215,-0.04,0.12,N,OTR5
216,-0.12,-0.03,Y,OTR6
217,-0.07,0.08,N,OTR7
218,-0.07,0.08,N,OTR8
219,-0.07,0.09,N,OTR9
220,-0.04,0.15,N,OTR10
221,-0.08,0.08,N,OTR11
222,-0.06,0.09,N,OTR12
223,-0.07,0.09,N,OTR13
224,-0.07,0.07,N,OXA0
225,-0.03,0.12,N,OXA1
226,0.06,0.21,Y,OXA2
227,-0.04,0.04,N,OXA3
228,-0.04,0.0,N,OXA4
229,-0.1,0.05,N,OXA5
230,-0.04,0.11,N,OXA6
231,-0.05,0.08,N,OXA7
232,-0.08,0.0,N,OXA8
233,-0.03,0.12,N,OXA9
234,-0.07,0.1,N,OXA10
235,-0.04,0.01,N,OXA11
236,-0.02,0.15,N,OXA12
237,-0.03,0.2,N,OXA13
238,-0.04,0.09,N,PAP0
239,-0.08,0.0,N,PAP1
240,-0.0,0.15,N,PAP2
241,-0.13,0.01,N,PAP3
242,-0.12,0.01,N,PAP4
243,-0.01,0.29,N,PAP5
244,-0.07,0.07,N,PAP6
245,-0.05,0.15,N,PAP7
246,-0.05,0.13,N,PAP8
247,0.0,0.0,N,PAP9
248,0.0,0.4,N,PAP10
249,-0.07,0.06,N,PAP11
250,-0.04,0.15,N,PAP12
251,-0.05,0.11,N,PAP13
252,0.0,0.4,N,PEN0
253,-0.04,0.1,N,PEN1
254,0.12,0.25,Y,PEN2
255,-0.02,0.11,N,PEN3
256,0.01,0.05,Y,PEN4
257,-0.05,0.11,N,PEN5
258,-0.05,0.09,N,PEN6
259,-0.05,0.09,N,PEN7
260,-0.02,0.11,N,PEN8
261,-0.04,0.06,N,PEN9
262,-0.09,0.05,N,PEN10
263,-0.01,0.15,N,PEN11
264,-0.04,0.09,N,PEN12
265,-0.08,0.04,N,PEN13
266,-0.03,0.12,N,POL0
267,-0.08,0.05,N,POL1
268,-0.05,0.09,N,POL2
269,-0.03,0.13,N,POL3
270,-0.05,0.1,N,POL4
271,-0.06,0.08,N,POL5
272,-0.08,0.05,N,POL6
273,-0.04,0.1,N,POL7
274,-0.06,0.07,N,POL8
275,-0.07,0.08,N,POL9
276,-0.03,0.13,N,POL10
277,-0.07,0.07,N,POL11
278,-0.04,0.12,N,POL12
279,-0.06,0.07,N,POL13
280,-0.08,0.04,N,QUI0
281,-0.05,0.09,N,QUI1
282,0.05,0.2,Y,QUI2
283,-0.03,0.01,N,QUI3
284,-0.04,0.0,N,QUI4
285,-0.1,0.04,N,QUI5
286,-0.06,0.07,N,QUI6
287,-0.06,0.07,N,QUI7
288,-0.09,0.0,N,QUI8
289,-0.02,0.13,N,QUI9
290,-0.07,0.07,N,QUI10
291,-0.02,0.16,N,QUI11
292,-0.03,0.12,N,QUI12
293,-0.06,0.07,N,QUI13
294,-0.05,0.07,N,SUL0
295,-0.08,0.0,N,SUL1
296,0.01,0.16,Y,SUL2
297,-0.12,0.01,N,SUL3
298,-0.09,0.04,N,SUL4
299,-0.02,0.15,N,SUL5
300,-0.07,0.06,N,SUL6
301,-0.03,0.16,N,SUL7
302,-0.04,0.14,N,SUL8
303,0.0,0.0,N,SUL9
304,0.0,0.0,N,SUL10
305,-0.06,0.07,N,SUL11
306,-0.05,0.07,N,SUL12
307,-0.02,0.12,N,SUL13
308,0.0,0.0,N,TTC0
309,-0.01,0.13,N,TTC1
310,0.09,0.21,Y,TTC2
311,-0.05,0.09,N,TTC3
312,0.01,0.14,Y,TTC4
313,-0.06,0.07,N,TTC5
314,-0.03,0.11,N,TTC6
315,-0.03,0.11,N,TTC7
316,-0.06,0.07,N,TTC8
317,-0.07,-0.01,Y,TTC9
318,-0.06,0.07,N,TTC10
319,0.01,0.16,Y,TTC11
320,-0.04,0.09,N,TTC12
321,-0.1,0.02,N,TTC13
322,-0.0,0.14,N,pc_acinet0
323,-0.07,0.05,N,pc_acinet1
324,-0.06,0.07,N,pc_acinet2
325,-0.04,0.1,N,pc_acinet3
326,-0.06,0.06,N,pc_acinet4
327,-0.04,0.09,N,pc_acinet5
328,-0.06,0.03,N,pc_acinet6
329,-0.04,0.09,N,pc_acinet7
330,-0.08,0.05,N,pc_acinet8
331,-0.06,0.08,N,pc_acinet9
332,-0.03,0.11,N,pc_acinet10
333,-0.04,0.09,N,pc_acinet11
334,-0.04,0.1,N,pc_acinet12
335,-0.07,0.05,N,pc_acinet13
336,-0.07,0.04,N,pc_enterob0
337,-0.04,0.1,N,pc_enterob1
338,0.04,0.18,Y,pc_enterob2
339,-0.03,0.01,N,pc_enterob3
340,-0.06,0.0,N,pc_enterob4
341,-0.07,0.05,N,pc_enterob5
342,-0.06,0.07,N,pc_enterob6
343,-0.08,0.05,N,pc_enterob7
344,-0.06,0.0,N,pc_enterob8
345,0.01,0.16,Y,pc_enterob9
346,-0.07,0.03,N,pc_enterob10
347,-0.03,0.11,N,pc_enterob11
348,-0.02,0.14,N,pc_enterob12
349,-0.04,0.01,N,pc_enterob13
350,-0.04,0.07,N,pc_enteroc0
351,-0.08,0.0,N,pc_enteroc1
352,-0.01,0.13,N,pc_enteroc2
353,-0.11,0.01,N,pc_enteroc3
354,-0.08,0.02,N,pc_enteroc4
355,-0.03,0.0,N,pc_enteroc5
356,-0.07,0.06,N,pc_enteroc6
357,-0.02,0.1,N,pc_enteroc7
358,-0.02,0.15,N,pc_enteroc8
359,0.0,0.0,N,pc_enteroc9
360,0.0,0.0,N,pc_enteroc10
361,-0.05,0.03,N,pc_enteroc11
362,-0.02,0.14,N,pc_enteroc12
363,-0.02,0.01,N,pc_enteroc13
364,0.0,0.0,N,pc_pseud0
365,0.02,0.14,Y,pc_pseud1
366,0.09,0.2,Y,pc_pseud2
367,-0.07,0.05,N,pc_pseud3
368,-0.04,0.11,N,pc_pseud4
369,-0.07,0.06,N,pc_pseud5
370,-0.02,0.1,N,pc_pseud6
371,-0.0,0.13,N,pc_pseud7
372,-0.03,0.1,N,pc_pseud8
373,-0.05,0.06,N,pc_pseud9
374,-0.06,0.05,N,pc_pseud10
375,0.03,0.18,Y,pc_pseud11
376,-0.07,0.05,N,pc_pseud12
377,-0.05,0.07,N,pc_pseud13
378,-0.01,0.13,N,pc_staph0
379,-0.03,0.1,N,pc_staph1
380,-0.03,0.09,N,pc_staph2
381,-0.02,0.12,N,pc_staph3
382,-0.04,0.09,N,pc_staph4
383,-0.03,0.1,N,pc_staph5
384,-0.06,0.06,N,pc_staph6
385,-0.05,0.07,N,pc_staph7
386,-0.11,0.01,N,pc_staph8
387,-0.06,0.05,N,pc_staph9
388,-0.05,0.06,N,pc_staph10
389,-0.05,0.07,N,pc_staph11
390,-0.05,0.08,N,pc_staph12
391,-0.07,0.02,N,pc_staph13
392,-0.04,0.06,N,pc_stenot0
393,-0.05,0.09,N,pc_stenot1
394,0.03,0.15,Y,pc_stenot2
395,-0.02,0.01,N,pc_stenot3
396,-0.06,0.0,N,pc_stenot4
397,-0.03,0.08,N,pc_stenot5
398,-0.05,0.08,N,pc_stenot6
399,-0.08,0.06,N,pc_stenot7
400,-0.04,0.0,N,pc_stenot8
401,-0.02,0.12,N,pc_stenot9
