,0,1,selected,features
693,-0.02,0.07,N,neighbor_OXA7
694,-0.02,0.15,N,neighbor_OXA8
695,-0.0,0.0,N,neighbor_OXA9
696,-0.0,0.0,N,neighbor_OXA10
697,-0.06,0.03,N,neighbor_OXA11
698,-0.03,0.0,N,neighbor_OXA12
699,-0.0,0.0,N,neighbor_OXA13
700,-0.0,0.56,N,neighbor_PAP0
701,-0.01,0.08,N,neighbor_PAP1
702,0.04,0.12,Y,neighbor_PAP2
703,-0.06,0.02,N,neighbor_PAP3
704,-0.01,0.17,N,neighbor_PAP4
705,-0.03,0.07,N,neighbor_PAP5
706,-0.04,0.06,N,neighbor_PAP6
707,-0.04,0.05,N,neighbor_PAP7
708,-0.06,0.01,N,neighbor_PAP8
709,-0.03,0.06,N,neighbor_PAP9
710,-0.05,0.03,N,neighbor_PAP10
711,0.01,0.14,Y,neighbor_PAP11
712,-0.05,0.05,N,neighbor_PAP12
713,-0.03,0.03,N,neighbor_PAP13
714,-0.04,0.06,N,neighbor_PEN0
715,-0.04,0.05,N,neighbor_PEN1
716,-0.03,0.1,N,neighbor_PEN2
717,-0.01,0.1,N,neighbor_PEN3
718,-0.04,0.06,N,neighbor_PEN4
719,-0.06,0.01,N,neighbor_PEN5
720,-0.01,0.06,N,neighbor_PEN6
721,-0.06,0.04,N,neighbor_PEN7
722,-0.05,0.05,N,neighbor_PEN8
723,-0.05,0.03,N,neighbor_PEN9
724,-0.02,0.08,N,neighbor_PEN10
725,-0.04,0.05,N,neighbor_PEN11
726,-0.04,0.05,N,neighbor_PEN12
727,-0.02,0.05,N,neighbor_PEN13
728,-0.03,0.02,N,neighbor_POL0
729,-0.03,0.11,N,neighbor_POL1
730,0.0,0.1,N,neighbor_POL2
731,-0.01,0.0,N,neighbor_POL3
732,-0.0,0.0,N,neighbor_POL4
733,-0.03,0.02,N,neighbor_POL5
734,-0.01,0.1,N,neighbor_POL6
735,-0.05,0.08,N,neighbor_POL7
736,-0.03,0.16,N,neighbor_POL8
737,0.01,0.13,Y,neighbor_POL9
738,-0.03,0.03,N,neighbor_POL10
739,-0.05,0.15,N,neighbor_POL11
740,-0.02,0.07,N,neighbor_POL12
741,-0.02,0.0,N,neighbor_POL13
742,-0.03,0.03,N,neighbor_QUI0
743,-0.0,0.0,N,neighbor_QUI1
744,-0.03,0.09,N,neighbor_QUI2
745,-0.05,0.03,N,neighbor_QUI3
746,-0.03,0.03,N,neighbor_QUI4
747,-0.0,0.0,N,neighbor_QUI5
748,-0.06,0.01,N,neighbor_QUI6
749,-0.02,0.05,N,neighbor_QUI7
750,-0.02,0.15,N,neighbor_QUI8
751,-0.0,0.0,N,neighbor_QUI9
752,-0.0,0.0,N,neighbor_QUI10
753,-0.06,-0.01,Y,neighbor_QUI11
754,-0.04,0.1,N,neighbor_QUI12
755,-0.0,0.07,N,neighbor_QUI13
756,-0.0,0.0,N,neighbor_SUL0
757,-0.04,0.05,N,neighbor_SUL1
758,0.05,0.12,Y,neighbor_SUL2
759,-0.04,0.03,N,neighbor_SUL3
760,-0.03,0.14,N,neighbor_SUL4
761,-0.02,0.07,N,neighbor_SUL5
762,-0.03,0.07,N,neighbor_SUL6
763,-0.03,0.06,N,neighbor_SUL7
764,-0.04,0.03,N,neighbor_SUL8
765,-0.02,0.07,N,neighbor_SUL9
766,-0.06,0.01,N,neighbor_SUL10
767,0.02,0.14,Y,neighbor_SUL11
768,-0.04,0.05,N,neighbor_SUL12
769,-0.03,0.05,N,neighbor_SUL13
770,-0.03,0.06,N,neighbor_TTC0
771,-0.04,0.04,N,neighbor_TTC1
772,-0.03,0.09,N,neighbor_TTC2
773,0.0,0.12,N,neighbor_TTC3
774,-0.04,0.06,N,neighbor_TTC4
775,-0.05,0.01,N,neighbor_TTC5
776,-0.02,0.0,N,neighbor_TTC6
777,-0.05,0.03,N,neighbor_TTC7
778,-0.06,0.03,N,neighbor_TTC8
779,-0.05,0.02,N,neighbor_TTC9
780,-0.01,0.09,N,neighbor_TTC10
781,-0.06,0.03,N,neighbor_TTC11
782,-0.04,0.04,N,neighbor_TTC12
783,-0.01,0.07,N,neighbor_TTC13
