features_dyn,roc_seed_0,mean_importance
AMG,-0.0010428168322903497,-0.0010428168322903497
ATF,0.0007974481658692412,0.0007974481658692412
CAR,0.0036191878297141544,0.0036191878297141544
CF1,-9.201324990792958e-05,-9.201324990792958e-05
CF2,-0.006164887743834946,-0.006164887743834946
CF3,-0.0033124769966876855,-0.0033124769966876855
CF4,-0.0015642252484358021,-0.0015642252484358021
Falta,0.0020856336645810325,0.0020856336645810325
GCC,0.004355293828978146,0.004355293828978146
GLI,-0.0051834130781499566,-0.0051834130781499566
LIN,0.003741872162924764,0.003741872162924764
LIP,0.00021469758311853937,0.00021469758311853937
MAC,0.005060728744939236,0.005060728744939236
MON,0.0023616734143050433,0.0023616734143050433
NTI,-0.005551466077781786,-0.005551466077781786
OTR,0.0,0.0
OXA,-0.00012268433321049876,-0.00012268433321049876
PAP,0.001993620414672992,0.001993620414672992
PEN,0.007207704576125629,0.007207704576125629
POL,0.0,0.0
QUI,-0.0036191878297141544,-0.0036191878297141544
SUL,0.000306710833026691,0.000306710833026691
TTC,0.0006747638326585204,0.0006747638326585204
pc_acinet,0.0,0.0
pc_enterob,0.008955956324377512,0.008955956324377512
pc_enteroc,-0.007238375659428309,-0.007238375659428309
pc_pseud,0.002300331247699683,0.002300331247699683
pc_staph,-0.0038032143295301246,-0.0038032143295301246
pc_stenot,0.0,0.0
pc_no_germ,-0.0036191878297142654,-0.0036191878297142654
isVM,0.03833885412832794,0.03833885412832794
numberOfPatients,-0.00846521899153474,-0.00846521899153474
numberOfPatientsMR,0.004723346828610087,0.004723346828610087
neighbor_AMG,0.0004293951662373008,0.0004293951662373008
neighbor_ATF,-0.002331002331002363,-0.002331002331002363
neighbor_CAR,0.00791313949208683,0.00791313949208683
neighbor_CF1,0.0011348300821986124,0.0011348300821986124
neighbor_CF2,0.0011348300821986124,0.0011348300821986124
neighbor_CF3,3.06710833026802e-05,3.06710833026802e-05
neighbor_CF4,-0.0010428168322904607,-0.0010428168322904607
neighbor_Falta,-0.0023616734143050433,-0.0023616734143050433
neighbor_GCC,-0.0002146975831186504,-0.0002146975831186504
neighbor_GLI,0.002300331247699794,0.002300331247699794
neighbor_LIN,0.001686909581646523,0.001686909581646523
neighbor_LIP,-0.004846031161820696,-0.004846031161820696
neighbor_MAC,0.012513801987486195,0.012513801987486195
neighbor_MON,-0.004140596245859385,-0.004140596245859385
neighbor_NTI,-0.001533554165133122,-0.001533554165133122
neighbor_OTR,-0.004968715495031306,-0.004968715495031306
neighbor_OXA,-0.0008894614157772818,-0.0008894614157772818
neighbor_PAP,0.0008281192491719214,0.0008281192491719214
neighbor_PEN,0.011072261072261114,0.011072261072261114
neighbor_POL,0.0013188565820144715,0.0013188565820144715
neighbor_QUI,0.011010918905655642,0.011010918905655642
neighbor_SUL,-0.0023923444976076125,-0.0023923444976076125
neighbor_TTC,0.0019629493313704227,0.0019629493313704227
