AMG,ATF,CF2,GCC,LIN,OTR,PEN,TTC,pc_enteroc,isVM,neighbor_CAR,neighbor_CF4,neighbor_GLI,neighbor_MAC,neighbor_PAP,neighbor_QUI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6450975591237206,1.2092305757507988,7.428404855606359,9.76272558764335,9.37836424271768,5.543158217019853,6.665769292492053,8.14522056326198
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2955206684439533,2.859653685071031,7.368145088993792,9.382995648271795,9.444921453248188,7.364781293056437,7.242579356891902,8.149816580536504
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06961755237865885,0.6337505690057371,4.708646314815141,4.7187775122626086,0.0,1.5000000000000004,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08857270980298182,0.6527057264300601,8.097673362742169,7.357374167878424,6.557142857142857,0.5000000000000001,0.0,11.029159080240355
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42976095580934315,0.9938939724364214,7.910078784304792,9.379136689155072,10.076477735066897,6.611111111111111,7.528948731580312,8.855792796268986
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14152771285571875,4.627219954731631,1.8941900876907682,1.8784893354951826,2.5491759009784722,1.3188818313464428,1.541809380735299,1.7227464486292894
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1190074514903878,1.6831404681174662,7.6917902603189,9.691315742984397,10.052867643283872,7.3713700971067855,7.345224870695494,8.386087906027969
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.12917609895100035,0.6933091155780786,8.034656084656085,9.104166666666668,10.76246870298013,0.6666666666666666,6.225641559755503,5.178571428571427
0.27635031750409345,0.255368528113753,0.2102378867835868,0.2114255352396438,0.24111674664106897,0.21102965242095806,0.35156805305437056,0.21617612906387185,0.0,1.8188554535067039,0.5096572586495144,0.3366234766489866,0.3286634042589853,0.2490344030147823,0.4494830702092927,0.4372484059556262
8.266904327952483,8.245922538562143,8.200791897231976,8.201979545688035,8.231670757089459,8.201583662869348,8.34212206350276,8.206730139512262,1.8188554535067039,0.0,8.500211269097905,8.327177487097376,8.319217414707376,8.239588413463173,8.440037080657683,8.427802416404017
7.428404855606359,7.368145088993792,4.708646314815141,8.097673362742169,7.910078784304792,1.8941900876907682,7.6917902603189,8.034656084656085,4.406994113097669,4.406994113097669,2.4376413530427756,2.6106317348318813,2.4684354738760286,2.955192429097534,2.508722895884212,2.5204208400038124
9.76272558764335,9.382995648271795,4.7187775122626086,7.357374167878424,9.379136689155072,1.8784893354951826,9.691315742984397,9.104166666666668,1.8466383355857952,1.8466383355857952,2.6106317348318813,0.0,2.580992200573542,3.4360156111481057,1.9618675868418318,2.48988968066599
9.37836424271768,9.444921453248188,0.0,6.557142857142857,10.076477735066897,2.5491759009784722,10.052867643283872,10.76246870298013,2.2801330689603536,2.2801330689603536,2.4684354738760286,2.580992200573542,1.783268673261538,3.4884776230131154,2.8879573661003874,3.0249249716643054
5.543158217019853,7.364781293056437,1.5000000000000004,0.5000000000000001,6.611111111111111,1.3188818313464428,7.3713700971067855,0.6666666666666666,0.6738250712898902,0.6738250712898902,2.955192429097534,3.4360156111481057,3.4884776230131154,0.0,2.363109185647277,2.966327872080127
6.665769292492053,7.242579356891902,0.0,0.0,7.528948731580312,1.541809380735299,7.345224870695494,6.225641559755503,3.8867994596119164,3.8867994596119164,2.508722895884212,1.9618675868418318,2.8879573661003874,2.363109185647277,0.8801782359250986,2.3388119214082987
8.14522056326198,8.149816580536504,0.0,11.029159080240355,8.855792796268986,1.7227464486292894,8.386087906027969,5.178571428571427,3.4496955640031537,3.4496955640031537,2.5204208400038124,2.48988968066599,3.0249249716643054,2.966327872080127,2.3388119214082987,0.0
