features_dyn,roc_seed_0,mean_importance
AMG,-0.00328947368421062,-0.00328947368421062
ATF,-0.011363636363636354,-0.011363636363636354
CAR,-0.004784688995215336,-0.004784688995215336
CF1,0.0,0.0
CF2,0.0,0.0
CF3,0.005681818181818232,0.005681818181818232
CF4,-0.005681818181818232,-0.005681818181818232
Falta,0.002093301435406758,0.002093301435406758
GCC,0.0,0.0
GLI,0.005681818181818232,0.005681818181818232
LIN,0.0,0.0
LIP,0.0,0.0
MAC,0.0,0.0
MON,0.0,0.0
NTI,0.0011961722488038617,0.0011961722488038617
OTR,0.0,0.0
OXA,0.0,0.0
PAP,-0.0035885167464114742,-0.0035885167464114742
PEN,-0.009270334928229707,-0.009270334928229707
POL,0.0,0.0
QUI,0.0011961722488038617,0.0011961722488038617
SUL,0.0011961722488038617,0.0011961722488038617
TTC,0.0,0.0
pc_acinet,0.0,0.0
pc_enterob,0.006877990430621983,0.006877990430621983
pc_enteroc,0.0,0.0
pc_pseud,-0.0023923444976077235,-0.0023923444976077235
pc_staph,0.0011961722488038617,0.0011961722488038617
pc_stenot,0.0,0.0
pc_no_germ,0.0035885167464114742,0.0035885167464114742
isVM,0.07027511961722488,0.07027511961722488
numberOfPatients,0.0011961722488038617,0.0011961722488038617
numberOfPatientsMR,0.0011961722488038617,0.0011961722488038617
neighbor_AMG,-0.004784688995215336,-0.004784688995215336
neighbor_ATF,0.0,0.0
neighbor_CAR,0.012260765550239139,0.012260765550239139
neighbor_CF1,-0.0023923444976077235,-0.0023923444976077235
neighbor_CF2,0.0,0.0
neighbor_CF3,0.002093301435406758,0.002093301435406758
neighbor_CF4,-0.007775119617224879,-0.007775119617224879
neighbor_Falta,0.011662679425837208,0.011662679425837208
neighbor_GCC,0.0,0.0
neighbor_GLI,0.0035885167464114742,0.0035885167464114742
neighbor_LIN,0.0035885167464114742,0.0035885167464114742
neighbor_LIP,0.0,0.0
neighbor_MAC,-0.0011961722488038617,-0.0011961722488038617
neighbor_MON,0.006877990430621983,0.006877990430621983
neighbor_NTI,-0.0035885167464114742,-0.0035885167464114742
neighbor_OTR,0.0,0.0
neighbor_OXA,0.018241626794258337,0.018241626794258337
neighbor_PAP,0.0035885167464114742,0.0035885167464114742
neighbor_PEN,-0.013456937799043,-0.013456937799043
neighbor_POL,0.0011961722488038617,0.0011961722488038617
neighbor_QUI,-0.0035885167464114742,-0.0035885167464114742
neighbor_SUL,0.0023923444976076125,0.0023923444976076125
neighbor_TTC,0.005681818181818232,0.005681818181818232
